year,ADM1_NAME,ADM2_NAME,Stability Zone,Area_Sleikh,Area_Under_Trees,Area_Total,Production,Yield_kg_ha,Area_Rainfed,Production_Rainfed,Yield_Rainfed_kg_ha,Total_Production
2004,Homs,Tall Kalakh,1,2909,0,2909,9076,3120,3231,4581,1417,13657
2004,Hama,Hama,2,70,0,70,0,0,20,0,0,0
2004,Hama,Hama,3,315,0,315,0,0,0,0,0,0
2004,Hama,Hama,4,381,0,381,1959,5141.732283,0,0,0,1959
2004,Hama,Al-Ghab,1,4784,0,4784,22628,4729.93311,127,0,0,22628
2004,Idleb,Idleb,1,4370,0,4370,21894,5010.06865,8474,21643,2554.047675,43537
2004,Idleb,Idleb,2,1057,0,1057,5773,5461.684011,7231,17246,2385.008989,23019
2004,Idleb,Idleb,3,1253,0,1253,6534,5214.684757,5412,12563,2321.322986,19097
2004,Idleb,Harim,1,647,0,647,3209,4959.814529,353,871,2467.422096,4080
2004,Idleb,Al-Ma'ra,1,741,0,741,4947,6676.11336,10494,28911,2755.002859,33858
2004,Idleb,Al-Ma'ra,2,210,0,210,869,4138.095238,13053,20629,1580.402972,21498
2004,Idleb,Al-Ma'ra,3,0,0,0,0,0,3245,2168,668.1047766,2168
2004,Idleb,Ariha,1,345,0,345,1515,4391.304348,777,2103,2706.563707,3618
2004,Tartous,Tartous,1,6032,0,6032,25274,4190,347,1162,3348.70317,26436
2004,Tartous,Banyas,1,22,0,22,54,2454.545455,915,1418,1549.726776,1472
2004,Tartous,Safita,1,28,0,28,84,3000,235,552,2348.93617,636
2004,Tartous,Dreikisch,1,0,0,0,0,0,15,16,1066.666667,16
2004,Tartous,Sheikh Badr,1,0,0,0,0,0,454,0,0,0
2004,Lattakia,Al-Hafa,1,0,0,0,0,0,21,45,2142.857143,45
2004,Aleppo,A'zaz,1,1319,0,1319,4308,3266.110691,12848,24307,1891,28615
2004,Aleppo,A'zaz,2,239,0,239,835,3493.723849,3205,6298,1965,7133
2004,Aleppo,Afrin,1,438,0,438,2006,4580,1814,4554,2510.473,6560
2004,Aleppo,Jarablus,2,842,0,842,2140,2541.567696,22595,23702,1048,25842
2004,Aleppo,Al-Bab,1,0,0,0,0,0,1500,2687,1791.333333,2687
2004,Aleppo,Al-Bab,2,351,0,351,1516,4319.088319,22621,10294,455,11810
2004,Aleppo,Al-Bab,3,6880,0,6880,30685,4460.02907,2090,1463,700,32148
2004,Aleppo,Al-Bab,4,2355,0,2355,9632,4090,0,0,0,9632
2004,Aleppo,Menbij,2,4170,0,4170,16000,3836.930456,19626,10465,533,26465
2004,Aleppo,Menbij,3,3522,0,3522,16730,4749,5195,4431,853,21161
2004,Aleppo,Menbij,4,18132,0,18132,90079,4968,70,0,0,90079
2004,Aleppo,Menbij,5,4670,0,4670,26059,5580,0,0,0,26059
2004,Aleppo,Ain Al-Arab,2,12015,0,12015,43662,3633,48549,49762,1024,93424
2004,Aleppo,Ain Al-Arab,3,3322,0,3322,12192,3669,2800,2388,853,14580
2004,Aleppo,Jebel Saman,1,523,0,523,2740,5239,1287,4054,3150,6794
2004,Aleppo,Jebel Saman,2,1861,0,1861,9804,5267,1063,2797,2630,12601
2004,Aleppo,Jebel Saman,3,271,0,271,975,3598,437,207,474,1182
2004,Aleppo,Jebel Saman,4,108,0,108,447,4138.888889,0,0,0,447
2004,Aleppo,As-Safira,2,3019,0,3019,13525,4480,1462,1535,1050,15060
2004,Aleppo,As-Safira,3,3096,0,3096,13932,4500,2673,2753,1030,16685
2004,Aleppo,As-Safira,4,590,0,590,2640,4474.576271,1992,1593,800,4233
2004,Raqqa,Raqqa,3,258,0,258,877,3399.224806,700,132,188.5714286,1009
2004,Raqqa,Raqqa,4,12151,0,12151,59212,4872,12224,2447,200,61659
2004,Raqqa,Raqqa,5,16744,0,16744,93448,5581,1305,55,42,93503
2004,Raqqa,Tell Abiad,2,22444,0,22444,94736,4220,32388,30963,956,125699
2004,Raqqa,Tell Abiad,3,2783,0,2783,11171,4014,18058,7539,417,18710
2004,Raqqa,Tell Abiad,4,255,0,255,1012,3968.627451,30,5,166.6666667,1017
2004,Raqqa,Tabqat,3,1772,0,1772,8816,4975,90,37,411.1111111,8853
2004,Raqqa,Tabqat,4,3443,0,3443,14667,4259,700,0,0,14667
2004,Raqqa,Tabqat,5,17753,0,17753,74883,4218,1400,0,0,74883
2004,Dayr Az-Zor,Dayr Az-Zor,4,1954,0,1954,8832,4519,2925,140,48,8972
2004,Dayr Az-Zor,Dayr Az-Zor,5,26519,0,26519,110664,4172,0,0,0,110664
2004,Dayr Az-Zor,Al-Mayadin,5,9101,0,9101,40636,4465,0,0,0,40636
2004,Dayr Az-Zor,Abu Kamal,5,11459,0,11459,50465,4404,0,0,0,50465
2004,Hassakeh,Hassakeh,1,0,0,0,0,0,50,57,1140,57
2004,Hassakeh,Hassakeh,2,29665,0,29665,90004,3034,35564,37022,1041,127026
2004,Hassakeh,Hassakeh,3,12713,0,12713,43898,3453,12676,4596,363,48494
2004,Hassakeh,Hassakeh,4,11478,0,11478,35579,3099,15375,1942,126,37521
2004,Hassakeh,Hassakeh,5,11685,0,11685,45186,3867,178,0,0,45186
2004,Hassakeh,Quamishli,1,19117,0,19117,53295,2788,51460,36208,704,89503
2004,Hassakeh,Quamishli,2,14507,0,14507,48062,3312,24923,15113,606,63175
2004,Hassakeh,Quamishli,3,5453,0,5453,16561,3037,6006,2596,432,19157
2004,Hassakeh,Al-Malika,1,26846,0,26846,104270,3884,85496,140129,1639,244399
2004,Hassakeh,Al-Malika,2,955,0,955,3343,3500,8070,7172,889,10515
2004,Hassakeh,Al-Malika,3,65,0,65,0,0,2225,214,96,214
2004,Hassakeh,Ras Al-Ain,1,20052,0,20052,86645,4321,4649,7216,1552,93861
2004,Hassakeh,Ras Al-Ain,2,62153,0,62153,231395,3723,25756,18802,730,250197
2004,Hassakeh,Ras Al-Ain,3,530,0,530,0,0,1000,0,0,0
2004,Hassakeh,Ras Al-Ain,4,350,0,350,1215,3471.428571,0,0,0,1215
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Homs,Tall Kalakh,1,2950,0,2950,11741,3980,1598,3564,2230,15305
2005,Hama,Hama,2,108,0,108,536,4962.962963,30,52,1733.333333,588
2005,Hama,Hama,3,715,0,715,3546,4959.440559,0,0,0,3546
2005,Hama,Hama,4,1712,0,1712,7961,4649,0,0,0,7961
2005,Hama,As-Salamiyeh,2,0,0,0,0,0,0,0,0,0
2005,Hama,As-Salamiyeh,3,0,0,0,0,0,0,0,0,0
2005,Hama,As-Salamiyeh,4,0,0,0,0,0,0,0,0,0
2005,Hama,As-Salamiyeh,5,0,0,0,0,0,0,0,0,0
2005,Hama,Masyaf,1,0,0,0,0,0,0,0,0,0
2005,Hama,Muhradah,1,0,0,0,0,0,0,0,0,0
2005,Hama,Al-Ghab,1,3791,0,3791,21912,5780,218,654,3000,22566
2005,Idleb,Idleb,1,4551,0,4551,21344,4690,8124,22991,2830,44335
2005,Idleb,Idleb,2,1478,0,1478,6932,4690,7144,13573,1900,20505
2005,Idleb,Idleb,3,1878,0,1878,10330,5500,5354,10012,1870,20342
2005,Idleb,Harim,1,733,0,733,2961,4040,365,1266,3468,4227
2005,Idleb,Al-Jisr Ash-Shu,1,18,0,18,72,4000,510,1770,3470,1842
2005,Idleb,Al-Ma'ra,1,485,0,485,2333,4810,9757,20684,2120,23017
2005,Idleb,Al-Ma'ra,2,214,0,214,1530,7150,15374,28288,1840,29818
2005,Idleb,Al-Ma'ra,3,0,0,0,0,0,3200,2912,910,2912
2005,Idleb,Ariha,1,717,0,717,3405,4750,175,421,2405,3826
2005,Tartous,Tartous,1,4921,0,4921,22637,4600,335,922,2752,23559
2005,Tartous,Banyas,1,29,0,29,134,4620,669,1840,2750,1974
2005,Tartous,Safita,1,71,0,71,328,4620,302,827,2738,1155
2005,Tartous,Dreikisch,1,0,0,0,0,0,90,247,2744,247
2005,Tartous,Sheikh Badr,1,0,0,0,0,0,2011,4243,2110,4243
2005,Lattakia,Al-Hafa,1,0,0,0,0,0,32,57,1781,57
2005,Aleppo,A'zaz,1,2085,0,2085,10675,5120,18874,46619,2470,57294
2005,Aleppo,A'zaz,2,418,0,418,2070,4950,5800,11600,2000,13670
2005,Aleppo,Afrin,1,1135,0,1135,4790,4220,1403,3101,2210,7891
2005,Aleppo,Jarablus,2,802,0,802,4115,5130,22333,24566,1100,28681
2005,Aleppo,Al-Bab,1,0,0,0,0,0,1500,2686,1790,2686
2005,Aleppo,Al-Bab,2,321,0,321,1278,3980,28772,33087,1150,34365
2005,Aleppo,Al-Bab,3,7012,0,7012,27978,3990,2049,3811,1860,31789
2005,Aleppo,Al-Bab,4,2623,0,2623,10492,4000,0,0,0,10492
2005,Aleppo,Menbij,2,4668,0,4668,16618,3560,21097,19831,940,36449
2005,Aleppo,Menbij,3,3698,0,3698,14311,3870,9103,7919,870,22230
2005,Aleppo,Menbij,4,21763,0,21763,95757,4400,1744,1309,750,97066
2005,Aleppo,Menbij,5,5580,0,5580,30796,5520,0,0,0,30796
2005,Aleppo,Ain Al-Arab,2,13170,0,13170,51495,3910,55310,74092,1340,125587
2005,Aleppo,Ain Al-Arab,3,3322,0,3322,11428,3440,2800,2800,1000,14228
2005,Aleppo,Jebel Saman,1,566,0,566,1947,3440,1134,2019,1780,3966
2005,Aleppo,Jebel Saman,2,1820,0,1820,7353,4040,1302,2460,1890,9813
2005,Aleppo,Jebel Saman,3,263,0,263,863,3280,447,491,1100,1354
2005,Aleppo,Jebel Saman,4,70,0,70,219,3130,0,0,0,219
2005,Aleppo,As-Safira,2,2423,0,2423,12479,5150,1911,3440,1800,15919
2005,Aleppo,As-Safira,3,1959,0,1959,9991,5100,2828,3111,1100,13102
2005,Aleppo,As-Safira,4,464,0,464,2069,4460,778,700,900,2769
2005,Aleppo,As-Safira,5,600,0,600,3306,5510,0,0,0,3306
2005,Raqqa,Raqqa,3,364,0,364,1991,5470,5900,0,0,1991
2005,Raqqa,Raqqa,4,21798,0,21798,99835,4580,23514,0,0,99835
2005,Raqqa,Raqqa,5,20708,0,20708,107889,5210,500,0,0,107889
2005,Raqqa,Tell Abiad,2,20386,0,20386,94387,4630,38578,46679,1210,141066
2005,Raqqa,Tell Abiad,3,2500,0,2500,10000,4000,18948,7958,420,17958
2005,Raqqa,Tell Abiad,4,255,0,255,842,3300,4380,0,0,842
2005,Raqqa,Tabqat,3,1527,0,1527,8399,5500,49,81,1653,8480
2005,Raqqa,Tabqat,4,1858,0,1858,8528,4590,4555,1093,240,9621
2005,Raqqa,Tabqat,5,16618,0,16618,73950,4450,218,11,50,73961
2005,Dayr Az-Zor,Dayr Az-Zor,4,2250,0,2250,9923,4410,3300,0,0,9923
2005,Dayr Az-Zor,Dayr Az-Zor,5,35955,0,35955,165754,4610,0,0,0,165754
2005,Dayr Az-Zor,Al-Mayadin,5,9288,0,9288,34923,3760,0,0,0,34923
2005,Dayr Az-Zor,Abu Kamal,5,16165,0,16165,67246,4160,0,0,0,67246
2005,Hassakeh,Hassakeh,1,0,0,0,0,0,495,629,1270,629
2005,Hassakeh,Hassakeh,2,21905,0,21905,79734,3640,48214,28639,594,108373
2005,Hassakeh,Hassakeh,3,11692,0,11692,44664,3820,18044,4800,266,49464
2005,Hassakeh,Hassakeh,4,11820,0,11820,45389,3840,12959,129,10,45518
2005,Hassakeh,Hassakeh,5,13371,0,13371,47600,3560,53,0,0,47600
2005,Hassakeh,Quamishli,1,21312,0,21312,78642,3690,52158,44335,850,122977
2005,Hassakeh,Quamishli,2,12372,0,12372,47756,3860,33904,17291,510,65047
2005,Hassakeh,Quamishli,3,3806,0,3806,13322,3500,6759,0,0,13322
2005,Hassakeh,Al-Malika,1,31671,0,31671,124150,3920,91148,133987,1470,258137
2005,Hassakeh,Al-Malika,2,1095,0,1095,4238,3870,9500,4370,460,8608
2005,Hassakeh,Al-Malika,3,140,0,140,490,3500,1970,788,400,1278
2005,Hassakeh,Ras Al-Ain,1,18882,0,18882,84592,4480,5967,7100,1190,91692
2005,Hassakeh,Ras Al-Ain,2,62214,0,62214,237035,3810,24344,12173,500,249208
2005,Hassakeh,Ras Al-Ain,3,730,0,730,2197,3010,2810,748,266,2945
2005,Hassakeh,Ras Al-Ain,4,495,0,495,1733,3500,0,0,0,1733
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Homs,Tall Kalakh,1,2834,0,2834,8998,3175,2002,5313,2654,14311
2007,Hama,Hama,2,71,0,71,293,4126,0,0,0,293
2007,Hama,Hama,3,334,0,334,1319,3949,0,0,0,1319
2007,Hama,Hama,4,970,0,970,3613,3725,0,0,0,3613
2007,Hama,Al-Ghab,1,7009,0,7009,34975,4990,122,232,1902,35207
2007,Idleb,Idleb,1,4850,0,4850,21748,4484,6081,9499,1562,31247
2007,Idleb,Idleb,2,1650,0,1650,8027,4865,4072,5138,1262,13165
2007,Idleb,Idleb,3,1934,0,1934,7341,3796,4058,4070,1003,11411
2007,Idleb,Harim,1,1004,0,1004,2134,2125,17,37,2176,2171
2007,Idleb,Al-Jisr Ash-Shu,1,53,0,53,170,3208,132,293,2220,463
2007,Idleb,Al-Ma'ra,1,537,0,537,1803,3358,9711,15674,1614,17477
2007,Idleb,Al-Ma'ra,2,216,0,216,1024,4741,15566,15426,991,16450
2007,Idleb,Al-Ma'ra,3,0,0,0,0,0,2890,1226,424,1226
2007,Idleb,Ariha,1,671,0,671,3187,4749,99,217,2192,3404
2007,Tartous,Tartous,1,4739,0,4739,13838,2920,156,250,1603,14088
2007,Tartous,Banyas,1,9,0,9,23,2556,193,193,1000,216
2007,Tartous,Safita,1,142,0,142,355,2500,315,216,686,571
2007,Tartous,Dreikisch,1,0,0,0,0,0,0,0,0,0
2007,Tartous,Sheikh Badr,1,0,0,0,0,0,528,845,1600,845
2007,Lattakia,Al-Hafa,1,0,0,0,0,0,40,70,1750,70
2007,Aleppo,A'zaz,1,1139,0,1139,3987,3500,15605,20287,1300,24274
2007,Aleppo,A'zaz,2,299,0,299,1047,3500,5469,5469,1000,6516
2007,Aleppo,Afrin,1,1300,0,1300,5707,4390,940,2671,2841,8378
2007,Aleppo,Jarablus,2,1334,0,1334,4611,3456,17648,21866,1239,26477
2007,Aleppo,Al-Bab,1,0,0,0,0,0,1290,3665,2841,3665
2007,Aleppo,Al-Bab,2,404,0,404,1770,4381,31929,35346,1107,37116
2007,Aleppo,Al-Bab,3,7915,0,7915,44102,5572,2000,788,394,44890
2007,Aleppo,Al-Bab,4,2977,0,2977,12950,4350,0,0,0,12950
2007,Aleppo,Menbij,2,3612,0,3612,14654,4057,28171,14621,519,29275
2007,Aleppo,Menbij,3,2911,0,2911,12581,4322,6885,2720,395,15301
2007,Aleppo,Menbij,4,18912,0,18912,85672,4530,334,0,0,85672
2007,Aleppo,Menbij,5,8237,0,8237,48087,5838,0,0,0,48087
2007,Aleppo,Ain Al-Arab,2,14203,0,14203,50975,3589,55054,31877,579,82852
2007,Aleppo,Ain Al-Arab,3,3509,0,3509,12702,3620,1800,0,0,12702
2007,Aleppo,Jebel Saman,1,531,0,531,2124,4000,1351,3378,2500,5502
2007,Aleppo,Jebel Saman,2,1654,0,1654,6616,4000,1633,2450,1500,9066
2007,Aleppo,Jebel Saman,3,229,0,229,916,4000,899,270,300,1186
2007,Aleppo,Jebel Saman,4,73,0,73,292,4000,0,0,0,292
2007,Aleppo,As-Safira,2,1916,0,1916,8509,4441,2473,4464,1805,12973
2007,Aleppo,As-Safira,3,2321,0,2321,7165,3087,2630,2625,998,9790
2007,Aleppo,As-Safira,4,334,0,334,1159,3470,180,0,0,1159
2007,Aleppo,As-Safira,5,700,0,700,2450,3500,0,0,0,2450
2007,Raqqa,Raqqa,3,180,0,180,713,3961,500,0,0,713
2007,Raqqa,Raqqa,4,18841,0,18841,96071,5099,3990,0,0,96071
2007,Raqqa,Raqqa,5,15863,0,15863,83629,5272,50,0,0,83629
2007,Raqqa,Tell Abiad,2,22232,0,22232,97799,4399,32914,9347,284,107146
2007,Raqqa,Tell Abiad,3,3470,0,3470,9282,2675,14675,0,0,9282
2007,Raqqa,Tell Abiad,4,1117,0,1117,2709,2425,2318,0,0,2709
2007,Raqqa,Tabqat,3,2395,0,2395,10011,4180,0,0,0,10011
2007,Raqqa,Tabqat,4,3025,0,3025,13622,4503,0,0,0,13622
2007,Raqqa,Tabqat,5,16188,0,16188,69609,4300,0,0,0,69609
2007,Dayr Az-Zor,Dayr Az-Zor,4,2680,0,2680,10184,3800,1300,0,0,10184
2007,Dayr Az-Zor,Dayr Az-Zor,5,32312,0,32312,129507,4008,0,0,0,129507
2007,Dayr Az-Zor,Al-Mayadin,5,6194,0,6194,25940,4188,0,0,0,25940
2007,Dayr Az-Zor,Abu Kamal,5,15846,0,15846,56919,3592,0,0,0,56919
2007,Hassakeh,Hassakeh,1,222,0,222,552,2486,335,302,901,854
2007,Hassakeh,Hassakeh,2,26905,0,26905,88571,3292,39014,28402,728,116973
2007,Hassakeh,Hassakeh,3,10479,0,10479,34141,3258,12476,4180,335,38321
2007,Hassakeh,Hassakeh,4,11722,0,11722,36267,3094,7714,825,107,37092
2007,Hassakeh,Hassakeh,5,8762,0,8762,28949,3304,0,0,0,28949
2007,Hassakeh,Quamishli,1,25549,0,25549,92206,3609,47978,71919,1499,164125
2007,Hassakeh,Quamishli,2,11282,0,11282,34421,3051,13376,12292,919,46713
2007,Hassakeh,Quamishli,3,4615,0,4615,12922,2800,3022,1088,360,14010
2007,Hassakeh,Al-Malika,1,29205,0,29205,100057,3426,81425,123196,1513,223253
2007,Hassakeh,Al-Malika,2,1315,0,1315,4142,3150,8295,8046,970,12188
2007,Hassakeh,Al-Malika,3,140,0,140,364,2600,1685,285,169,649
2007,Hassakeh,Ras Al-Ain,1,14635,0,14635,55247,3775,1811,9489,5239,64736
2007,Hassakeh,Ras Al-Ain,2,50967,0,50967,191585,3759,4272,18457,4321,210042
2007,Hassakeh,Ras Al-Ain,3,520,0,520,1695,3259,21791,1248,57,2943
2007,Hassakeh,Ras Al-Ain,4,150,0,150,393,2620,4190,0,0,393
2007,Homs,Tall Kalakh,1,2439,0,2439,6799,2788,896,1229,1372,8028
2007,Homs,Tall Kalakh,1,2439,0,2439,6799,2788,896,1229,1372,8028
2007,Homs,Tall Kalakh,1,2439,0,2439,6799,2788,896,1229,1372,8028
2007,Homs,Tall Kalakh,1,2439,0,2439,6799,2788,896,1229,1372,8028
2007,Homs,Tall Kalakh,1,2439,0,2439,6799,2788,896,1229,1372,8028
2007,Hama,Hama,2,0,0,0,0,0,0,0,0,0
2007,Hama,Hama,3,0,0,0,0,0,0,0,0,0
2007,Hama,Hama,4,0,0,0,0,0,0,0,0,0
2007,Hama,Al-Ghab,1,7024,0,7024,25342,3608,198,363,1833,25705
2007,Idleb,Idleb,1,3051,0,3051,12603,4131,2049,3342,1631,15945
2007,Idleb,Idleb,2,563,0,563,1962,3485,793,421,531,2383
2007,Idleb,Idleb,3,534,0,534,1744,3266,543,0,0,1744
2007,Idleb,Harim,1,88,0,88,367,4170,2,4,2000,371
2007,Idleb,Al-Jisr Ash-Shu,1,44,0,44,201,4568,53,112,2113,313
2007,Idleb,Al-Ma'ra,1,818,0,818,2936,3589,7929,8191,1033,11127
